"Kansas","UCLA"
"Kentucky","Saint John's NY"
"UCLA","Kentucky"
"Winthrop","North Carolina"
"Kansas","Saint John's NY"
"Arizona State","Tulsa"
"Winthrop","Arizona State"
"Tulsa","North Carolina"
"Mississippi State","California"
"Delaware","Temple"
"Navy","Texas"
"George Mason","New Mexico"
"Pepperdine","Indiana"
"South Alabama","Marquette"
"Fairfield","Villanova"
"Princeton","Duke"
"New Mexico","Temple"
"California","Texas"
"Jackson State","Austin Peay"
"Air Force","Houston"
"Mount St. Mary's","Wake Forest"
"Colorado","Alaska Fairbanks"
"Wisconsin Green Bay","Idaho"
"Drexel","FDU Madison"
"Louisville","Hawaii"
"Utah State","Santa Clara"
"Missouri Kansas City","Morris Brown College"
"Hobart College","Colgate"
"Hofstra","Northern Illinois"
"Columbia","Catholic University"
"East Carolina","Arkansas State"
"Mount St. Mary's","Houston"
"Villanova","Duke"
"Pennsylvania","North Carolina State"
"Michigan","Oakland MI"
"Louisiana Tech","Southern Mississippi"
"High Point","William & Mary"
"South Carolina State","Vanderbilt"
"La Salle University","North Carolina Wilmington"
"Brown University","Wagner College"
"Vermont","Cleveland St."
"College of Charleston","Charleston Southern"
"Quinnipiac","Connecticut"
"Wofford College","Georgia Tech"
"Tusculum College","Liberty"
"Charleston (WV)","Marshall"
"Gardner-Webb University","Virginia Commonwealth"
"Belmont","Florida International"
"Tennessee Chattanooga","Tennessee"
"North Carolina A&T","Pittsburgh"
"Urbana","Eastern Kentucky"
"Hartford","Clemson"
"North Carolina","Appalachian State"
"Radford","Richmond"
"Florida","Florida State"
"Tennessee Tech","South Carolina"
"Rider","Seton Hall"
"Boston University","Saint Peter's"
"Georgia St.","Georgia"
"Long Island","Virginia"
"Yale","Ohio State"
"Birmingham Southern","Alabama State"
"Central Connecticut State","Albany NY"
"Bethune-Cookman College","Georgetown University"
"Maine","Illinois"
"South Alabama","Indiana"
"NC Greensboro","Minnesota"
"Savannah State","Missouri"
"Florida A&M","Auburn"
"Dartmouth College","Marist College"
"Texas A&M Kingsville","Sam Houston State"
"Northwestern Louisiana","Texas Christian"
"North Texas","Tulsa"
"Cal State Long Beach","Southern Illinois"
"Jacksonville State","Alabama A&M"
"New Mexico State","St. Bonaventure"
"Lewis & Clark College","DePaul"
"Truman State","Southeast Missouri State"
"Saint Francis IL","Middle Tennessee State"
"Niagara","Buffalo"
"Southern Utah","Arizona State"
"Nicholls State","Tulane"
"Saint Joseph's PA","Western Carolina"
"Idaho State","Utah"
"Temple","Memphis"
"Air Force","Wake Forest"
"Tennessee State","Arkansas"
"Alcorn State","Oklahoma"
"Fordham","UNC Charlotte"
"Howard University","California Irvine"
"Mississippi Valley State","Oregon"
"Southern Oregon","Portland"
"Cal State Fullerton","Oregon State"
"Bethany WV","Cal State Sacramento"
"Gonzaga","Eastern Washington"
"Northern Arizona","UNLV"
"Saint Mary's CA","Fresno State"
"South Florida","Davidson College"
"California Riverside","Weber State College"
"North Dakota","Kansas"
"Greenville College","Wright St."
"Vanguard","Loyola Marymount"
"Lynchburg","East Tennessee State"
"Sul Ross State","Texas A&M Corpus Chris"
"Jackson State","Alaska Fairbanks"
"Hampton","Western Michigan"
"California State Hayward","San Jose State"
"Arkansas Pine Bluff","Mississippi"
"Methodist College","Citadel"
"Virginia Military","Virginia Tech"
"Louisiana College","Louisiana Lafayette"
"Illinois Chicago","St. Louis"
"Nebraska","Oral Roberts"
"Dillard","Southeast Louisiana"
"Campbell","North Carolina Asheville"
"Miami (Ohio)","Xavier (OH)"
"Austin Peay","Colorado"
"Eastern Illinois","Butler University"
"Nevada Reno","San Francisco"
"Belmont","Northern Illinois"
"Santa Clara","Davidson College"
"Morris Brown College","West Virginia"
"Dartmouth College","Arkansas State"
"Albany NY","Catholic University"
"Boise State","Cincinnati"
"Tennessee State","Louisiana Tech"
"Iona College","Massachusetts"
"Western Carolina","Vanderbilt"
"Belmont Abbey","Winthrop"
"Alcorn State","North Carolina Wilmington"
"Fordham","Pennsylvania"
"Loyola MD","Morgan State"
"Youngstown State","Saint Francis PA"
"McNeese State","Mississippi State"
"Elon College","Stetson"
"Texas A&M","George Washington"
"SUNY Stony Brook","Saint John's NY"
"Holy Cross College","Providence"
"Hofstra","Florida International"
"Coastal Carolina","Jacksonville FL"
"Fairfield","Rhode Island"
"North Georgia","Georgia Southern"
"Wilberforce","Indiana Purdue"
"Gardner-Webb University","Old Dominion"
"Miami (Florida)","Florida Atlantic"
"Southwest Missouri State","New Orleans"
"East Carolina","Marist College"
"Lafayette College","Cornell"
"Columbia","Central Connecticut State"
"Rice","Navy"
"Samford","Louisiana Monroe"
"Texas San Antonio","Kansas State"
"Arkansas Little Rock","Northwestern"
"Texas Wesleyan","Texas Arlington"
"Sacred Heart","Notre Dame"
"Sul Ross State","Texas Pan American"
"Lamar","Texas Southern"
"Indiana South Bend","Valparaiso"
"Western Kentucky","Evansville"
"South Carolina State","Saint Joseph's PA"
"St. Edward's","Southwest Texas State"
"Western Illinois","Montana State Bozeman"
"California Riverside","Wyoming"
"Southern Mississippi","Arkansas"
"Towson State","MD Baltimore County"
"La Salle University","Oklahoma"
"UNC Charlotte","North Carolina State"
"Cal State Chico","Pacific"
"Southern Oregon","Colorado State"
"California San Diego","San Diego State"
"Bradley","Southern California"
"South Florida","Utah State"
"Spring Arbor","Central Michigan"
"Atlanta Christian","Furman"
"Lock Haven University","Bucknell University"
"East Texas Baptist","Centenary"
"Occidental","San Diego"
"Utah State","Austin Peay"
"Vermont","Lehigh"
"Saint Francis (NY)","Syracuse"
"Radford","American University"
"Coast Guard","Army"
"FDU Madison","Rutgers"
"North Carolina A&T","Duquesne"
"Saint Peter's","Boston College"
"Warren Wilson","High Point"
"Oakland MI","Michigan State"
"Yale","Cleveland St."
"East Tennessee State","Tennessee"
"Jackson State","Davidson College"
"Jacksonville State","Auburn"
"California Santa Barbara","Pepperdine"
"Georgia","Minnesota"
"Loyola (Chicago)","Stephen F Austin"
"Colorado","South Florida"
"South Carolina State","Western Carolina"
"Wisconsin Green Bay","Gonzaga"
"Carroll MT","Montana"
"New Mexico State","Saint Mary's CA"
"Saint Joseph's PA","Vanderbilt"
"Howard University","Cal State Northridge"
"St. Bonaventure","Fresno State"
"San Francisco","Stanford"
"Wisconsin Milwaukee","Iowa"
"Santa Clara","Alaska Fairbanks"
"Louisville","Maryland"
"Portland State","Washington State"
"California San Diego","California Poly State"
"Southern Colorado","Oregon State"
"Arizona","Chaminade"
"Dayton","Connecticut"
"Savannah State","Georgia St."
"Massachusetts","Marquette"
"Virginia Military","James Madison"
