"Colorado State","Virginia"
"Fresno State","Wisconsin"
"Florida State","Iowa State"
"Bacone","Midland Lutheran"
"Arizona State","Nebraska"
"New Mexico","North Carolina State"
"Texas Tech","Ohio State"
"Arkansas State","Virginia Tech"
"Cumberland TN","Austin Peay"
"Northeastern State","Bacone"
"Tennessee Tech","Bowling Green State"
"Syracuse","Brigham Young"
"Lehigh","Buffalo"
"Winston Salem","Carson Newman"
"Sam Houston State","Central Michigan"
"Georgia Southern","Delaware"
"Indiana PA","Findlay University"
"Saint Peter's","Florida International"
"San Diego State","Fresno State"
"Montana","Hofstra"
"Western Montana","Idaho State"
"New Hampshire","Kent State"
"Elizabeth City State","Kutztown University"
"Bemidji State","Minnesota State Mankato"
"Winona State","Missouri Western State"
"Rocky Mountain","Montana Tech"
"Nebraska Kearney","Nebraska Omaha"
"West Virginia Tech","Nicholls State"
"Minnesota Crookston","North Dakota"
"Wake Forest","Northern Illinois"
"Wayne State MI","Northern Iowa"
"Delta State","Northwestern Louisiana"
"Eastern Kentucky","Oregon State"
"North Alabama","Samford"
"Arkansas Monticello","Southeast Missouri State"
"Florida Atlantic","South Florida"
"Kentucky Wesleyan","Southern Illinois"
"East Central Oklahoma","Missouri State"
"Assembly Of God","Tarleton State"
"Richmond","Temple"
"Southwest Baptist","Tennessee Martin"
"California Poly State","Toledo"
"North Greenville","Tusculum College"
"Morningside","Wayne State College"
"New Haven","West Chester"
"Drake","Western Illinois"
"Indiana State","Western Michigan"
"Clarion University","Youngstown State"
"Fort Lewis College","Central Washington"
"Oklahoma","Tulsa"
"Western New Mexico","Adams State"
"Northwestern","Air Force"
"Middle Tennessee State","Alabama"
"Valdosta State","Albany State GA"
"Arkansas Pine Bluff","Alcorn State"
"Northern Arizona","Arizona"
"Eastern Washington","Arizona State"
"San Jose State","Arkansas State"
"Michigan Tech","Ashland University"
"West Alabama","Belhaven"
"Savannah State","Bethune-Cookman College"
"Idaho","Boise State"
"Connecticut","Boston College"
"Baylor University","California"
"Virginia Military","Charleston Southern"
"Tuskegee University","Clark Atlanta University"
"Colorado State","Colorado"
"East Carolina","Duke"
"Saint Augustine's","Edward Waters"
"Fairmont State","Fairfield"
"Alabama Birmingham","Florida"
"Virginia","Florida State"
"Morehouse College","Fort Valley State"
"Edinboro University","Gannon University"
"Morgan State","Gardner-Webb University"
"Clemson","Georgia"
"Vanderbilt","Georgia Tech"
"Missouri Rolla","Harding University"
"Eastern Illinois","Hawaii"
"Northwest Oklahoma","Henderson State"
"William & Mary","Indiana"
"Saint Joseph's IN","Indianapolis"
"Akron","Iowa"
"Kansas","Iowa State"
"Alabama A&M","Jacksonville State"
"Hampton","James Madison"
"Wingate University","Johnson C. Smith"
"Western Kentucky","Kansas State"
"Benedict College","Lane College"
"Western Carolina","Liberty"
"Central Missouri","Lincoln MO"
"Oklahoma State","Louisiana Tech"
"Central Connecticut State","Maine"
"Virginias at Wise","Mars Hill College"
"Appalachian State","Marshall"
"Notre Dame","Maryland"
"Grambling","McNeese State"
"Murray State","Memphis"
"Western Oregon","Colorado Mesa"
"Florida A&M","Miami (Florida)"
"Washington","Michigan"
"Eastern Michigan","Michigan State"
"Southern Arkansas","Midwestern State"
"Texas State - San Marcos","Minnesota"
"Louisiana Monroe","Mississippi"
"Illinois","Missouri"
"Saint Mary's CA","Montana State Bozeman"
"Cumberland KY","Morehead State"
"Delaware State","Morris Brown College"
"Troy","Nebraska"
"Weber State College","New Mexico"
"Virginia State","Norfolk State College"
"Miami (Ohio)","North Carolina"
"East Tennessee State","North Carolina State"
"Lock Haven University","Northeastern"
"Saint Xavier","Northwestern MN"
"Mississippi State","Oregon"
"Colorado School of Mines","Panhandle State Oklahoma"
"Central Florida","Penn State"
"Bethel TN","Pikeville"
"Langston University","Pittsburg State"
"Ohio University","Pittsburgh"
"Stephen F Austin","Portland State"
"Illinois State","Purdue"
"McKendree College","Quincy"
"Bryant College","Rhode Island"
"Houston","Rice"
"Villanova","Rutgers"
"Navy","Southern Methodist"
"New Mexico State","South Carolina"
"Tennessee State","South Carolina State"
"Jackson State","Southern Mississippi"
"Allen","Stillman College"
"Wyoming","Tennessee"
"North Texas","Texas"
"Louisiana Lafayette","Texas A&M"
"Prairie View","Texas Southern"
"Southern University","Tulane"
"Wisconsin","UNLV"
"Utah","Utah State"
"Cal State Sacramento","Texas El Paso"
"Nevada Reno","Washington State"
"Tennessee Chattanooga","West Virginia"
"Bowie State","West Virginia State"
"Newberry College","Wofford College"
"Kentucky","Louisville"
"Alabama State","Miles College"
"North Carolina A&T","North Carolina Central"
"LSU","Virginia Tech"
"Texas Christian","Cincinnati"
"Auburn","Southern California"
"Assembly Of God","Texas A&M Commerce"
"Western Washington","Central Oklahoma"
"Fort Hays State","Emporia State"
"California PA","Geneva"
"Huron","Sioux Falls"
"New Mexico Highlands","Tarleton State"
"Oregon State","Temple"
"Tusculum College","Tennessee Martin"
"Morgan State","Towson State"
"Shenandoah","Kean College"
"Hawaii","Brigham Young"
"Bryant College","Southern Connecticut"
"Salve Regina","Springfield College"
"Southwestern KS","Northwest Oklahoma"
"Bryant College","Southern Connecticut"
"Bridgewater State MA","Western Connecticut State"
"Central Arkansas","Abilene Christian"
"New Mexico","Air Force"
"Troy","Alabama Birmingham"
"Saint John Fisher","Alfred University"
"Baldwin-Wallace College","Allegheny College"
"Greensboro College","Newport News - Apprentice"
"Central Florida","Arizona State"
"Boise State","Arkansas"
"Tulsa","Arkansas State"
"Northeastern State","Arkansas Tech"
"Holy Cross College","Army"
"Western Carolina","Auburn"
"Dakota State","Augsburg College"
"Northern State","Augustana SD"
"Gallaudet","Averett"
"San Diego","Azusa Pacific"
"Samford","Baylor University"
"Minot State","Bemidji State"
"South Carolina State","Benedict College"
"Graceland","Benedictine KS"
"Stanford","Boston College"
"Johnson C. Smith","Bowie State"
"Southwest State","Buena Vista University"
"Tiffin","Butler University"
"Assumption College","LIU - C W Post"
"Northern Arizona","California Poly State"
"New Mexico State","California"
"Austin Peay","Campbellsville"
"Anderson University","Capital University"
"Dana","Carleton College"
"Bethany WV","Carnegie Mellon"
"Rocky Mountain","Carroll MT"
"Saint Olaf","Carroll WI"
"Guilford College","Carson Newman"
"Culver-Stockton","Central Methodist"
"Wyoming","Central Michigan"
"Kenyon College","Centre College"
"Wisconsin River Falls","Chadron State College"
"North Greenville","Charleston Southern"
"Alabama State","Tennessee Chattanooga"
"Randolph Macon College","Chowan College"
"Louisiana Tech","Clemson"
"Villanova","Colgate"
"Norwich","College of New Jersey"
"San Diego State","Colorado"
"Cornell College","Colorado College"
"South Dakota Tech","Colorado School of Mines"
"Pikeville","Concord"
"Concordia St. Paul","Concordia NE"
"Georgia Tech","Connecticut"
"Principia College","Crown"
"Black Hills State","Dakota Wesleyan"
"Olivet College","Defiance College"
"Savannah State","Delaware State"
"Lycoming College","Delaware Valley College"
"Waynesburg College","Denison University"
"Juniata College","Dickinson College"
